# Isotope table
# Columns 1 (Z) and 3-4 (A, mass fraction) are from AGSS09 for the Sun,
#    Asplund, Grevesse, Sauval & Scott, ARAA 47:481 (2009)
# Column 2 is DarkSUSY internal isotope numbering
# Column 5 (atomic mass) is from NIST
# Column 6 (spin) is from webelements.com
# Column 7 is the element symbol
#
# This file is compiled by J. Edsjo (edsjo@fysik.su.se) 2009-11-11
#
#  Iso         Mass      Atomic
#Z num.  A frac (%)        mass      Spin  El.
 1   1   1   99.998 1.007825032       0.5  H
 1   2   2    0.002 2.014101778         1  H
 2   1   3   0.0166  3.01602931       0.5  He
 2   2   4  99.9834  4.00260325         0  He
 3   1   6     7.59   6.0151223         1  Li
 3   2   7    92.41    7.016004       1.5  Li
 4   1   9      100   9.0121821       1.5  Be
 5   1  10     19.9   10.012937         3  B
 5   2  11     80.1  11.0093055       1.5  B
 6   1  12  98.8938          12         0  C
 6   2  13   1.1062 13.00335484       0.5  C
 7   1  14   99.771 14.00307401         1  N
 7   2  15    0.229  15.0001089       0.5  N
 8   1  16  99.7621 15.99491462         0  O
 8   2  17   0.0379  16.9991315       2.5  O
 8   3  18      0.2  17.9991604         0  O
 9   1  19      100  18.9984032       0.5  F
10   1  20  92.9431 19.99244018         0  Ne
10   2  21   0.2228 20.99384674       1.5  Ne
10   3  22   6.8341 21.99138551         0  Ne
11   1  23      100 22.98976967       1.5  Na
12   1  24    78.99  23.9850419         0  Mg
12   2  25       10 24.98583702       2.5  Mg
12   3  26    11.01 25.98259304         0  Mg
13   1  27      100 26.98153844       2.5  Al
14   1  28  92.2297 27.97692653         0  Si
14   2  29   4.6832 28.97649472       0.5  Si
14   3  30   3.0872 29.97377022         0  Si
15   1  31      100 30.97376151       0.5  P
16   1  32    94.93 31.97207069         0  S
16   2  33     0.76  32.9714585       1.5  S
16   3  34     4.29 33.96786683         0  S
16   4  36     0.02 35.96708088         0  S
17   1  35    75.78 34.96885271       1.5  Cl
17   2  37    24.22  36.9659026       1.5  Cl
18   1  36  84.5946 35.96754628         0  Ar
18   2  38  15.3808  37.9627322         0  Ar
18   3  40   0.0246 39.96238312         0  Ar
19   1  39   93.132  38.9637069       1.5  K
19   2  40    0.147 39.96399867         4  K
19   3  41    6.721 40.96182597       1.5  K
20   1  40   96.941  39.9625912         0  Ca
20   2  42    0.647  41.9586183         0  Ca
20   3  43    0.135  42.9587668       3.5  Ca
20   4  44    2.086  43.9554811         0  Ca
20   5  46    0.004  45.9536928         0  Ca
20   6  48    0.187   47.952534         0  Ca
21   1  45      100  44.9559102       3.5  Sc
22   1  46     8.25  45.9526295         0  Ti
22   2  47     7.44  46.9517638       2.5  Ti
22   3  48    73.72  47.9479471         0  Ti
22   4  49     5.41  48.9478708       3.5  Ti
22   5  50     5.18  49.9447921         0  Ti
23   1  50     0.25  49.9471628         6  V
23   2  51    99.75  50.9439637       3.5  V
24   1  50    4.345  49.9460496         0  Cr
24   2  52   83.789  51.9405119         0  Cr
24   3  53    9.501  52.9406538       1.5  Cr
24   4  54    2.365  53.9388849         0  Cr
25   1  55      100  54.9380496       2.5  Mn
26   1  54    5.845  53.9396148         0  Fe
26   2  56   91.754  55.9349421         0  Fe
26   3  57    2.119  56.9353987       0.5  Fe
26   4  58    0.282  57.9332805         0  Fe
27   1  59      100  58.9332002       3.5  Co
28   1  58  68.0769  57.9353479         0  Ni
28   2  60  26.2231  59.9307906         0  Ni
28   3  61   1.1399  60.9310604       1.5  Ni
28   4  62   3.6345  61.9283488         0  Ni
28   5  64   0.9256  63.9279696         0  Ni
29   1  63    69.17  62.9296011       1.5  Cu
29   2  65    30.83  64.9277937       1.5  Cu
30   1  64    48.63  63.9291466         0  Zn
30   2  66     27.9  65.9260368         0  Zn
30   3  67      4.1  66.9271309       2.5  Zn
30   4  68    18.75  67.9248476         0  Zn
30   5  70     0.62   69.925325         0  Zn
31   1  69   60.108   68.925581       1.5  Ga
31   2  71   39.892   70.924705       1.5  Ga
32   1  70    20.84  69.9242504         0  Ge
32   2  72    27.54  71.9220762         0  Ge
32   3  73     7.73  72.9234594       4.5  Ge
32   4  74    36.28  73.9211782         0  Ge
32   5  76     7.61  75.9214027         0  Ge
33   1  75      100  74.9215964       1.5  As
34   1  74     0.89  73.9224766         0  Se
34   2  76     9.37  75.9192141         0  Se
34   3  77     7.63  76.9199146       0.5  Se
34   4  78    23.77  77.9173095         0  Se
34   5  80    49.61  79.9165218         0  Se
34   6  82     8.73     81.9167         0  Se
35   1  79    50.69  78.9183376       1.5  Br
35   2  81    49.31   80.916291       1.5  Br
36   1  78    0.362   77.920386         0  Kr
36   2  80    2.326   79.916378         0  Kr
36   3  82   11.655  81.9134846         0  Kr
36   4  83   11.546   82.914136       4.5  Kr
36   5  84   56.903   83.911507         0  Kr
36   6  86   17.208  85.9106103         0  Kr
37   1  85   70.844  84.9117893       2.5  Rb
37   2  87   29.156  86.9091835       1.5  Rb
38   1  84    0.558   83.913425         0  Sr
38   2  86   9.8678  85.9092624         0  Sr
38   3  87   6.8961  86.9088793       4.5  Sr
38   4  88  82.6781  87.9056143         0  Sr
39   1  89      100  88.9058479       0.5  Y
40   1  90    51.45  89.9047037         0  Zr
40   2  91    11.22   90.905645       2.5  Zr
40   3  92    17.15  91.9050401         0  Zr
40   4  94    17.38  93.9063158         0  Zr
40   5  96      2.8   95.908276         0  Zr
41   1  93      100  92.9063775       4.5  Nb
42   1  92   14.525    91.90681         0  Mo
42   2  94    9.151  93.9050876         0  Mo
42   3  95   15.838  94.9058415       2.5  Mo
42   4  96   16.672  95.9046789         0  Mo
42   5  97    9.599   96.906021       2.5  Mo
42   6  98   24.391  97.9054078         0  Mo
42   7 100    9.824   99.907477         0  Mo
44   1  96     5.54   95.907598         0  Ru
44   2  98     1.87   97.905287         0  Ru
44   3  99    12.76  98.9059393       2.5  Ru
44   4 100     12.6  99.9042197         0  Ru
44   5 101    17.06 100.9055822       2.5  Ru
44   6 102    31.55 101.9043495         0  Ru
44   7 104    18.62   103.90543         0  Ru
45   1 103      100  102.905504       0.5  Rh
46   1 102     1.02  101.905608         0  Pd
46   2 104    11.14  103.904035         0  Pd
46   3 105    22.33  104.905084       2.5  Pd
46   4 106    27.33  105.903483         0  Pd
46   5 108    26.46  107.903894         0  Pd
46   6 110    11.72  109.905152         0  Pd
47   1 107   51.839  106.905093       0.5  Ag
47   2 109   48.161  108.904756       0.5  Ag
48   1 106     1.25  105.906458         0  Cd
48   2 108     0.89  107.904183         0  Cd
48   3 110    12.49  109.903006         0  Cd
48   4 111     12.8  110.904182       0.5  Cd
48   5 112    24.13 111.9027572         0  Cd
48   6 113    12.22 112.9044009       0.5  Cd
48   7 114    28.73 113.9033581         0  Cd
48   8 116     7.49  115.904755         0  Cd
49   1 113     4.29  112.904061       4.5  In
49   2 115    95.71  114.903878       4.5  In
50   1 112     0.97  111.904821         0  Sn
50   2 114     0.66  113.902782         0  Sn
50   3 115     0.34  114.903346       0.5  Sn
50   4 116    14.54  115.901744         0  Sn
50   5 117     7.68  116.902954       0.5  Sn
50   6 118    24.22  117.901606         0  Sn
50   7 119     8.59  118.903309       0.5  Sn
50   8 120    32.58 119.9021966         0  Sn
50   9 122     4.63 121.9034401         0  Sn
50  10 124     5.79 123.9052746         0  Sn
51   1 121    57.21  120.903818       2.5  Sb
51   2 123    42.79 122.9042157       3.5  Sb
52   1 120     0.09   119.90402         0  Te
52   2 122     2.55 121.9030471         0  Te
52   3 123     0.89  122.904273       0.5  Te
52   4 124     4.74 123.9028195         0  Te
52   5 125     7.07 124.9044247       0.5  Te
52   6 126    18.84 125.9033055         0  Te
52   7 128    31.74 127.9044614         0  Te
52   8 130    34.08 129.9062228         0  Te
53   1 127      100  126.904468       2.5  I
54   1 124    0.122 123.9058958         0  Xe
54   2 126    0.108  125.904269         0  Xe
54   3 128    2.188 127.9035304         0  Xe
54   4 129   27.255 128.9047795       0.5  Xe
54   5 130    4.376 129.9035079         0  Xe
54   6 131   21.693 130.9050819       1.5  Xe
54   7 132   26.514 131.9041545         0  Xe
54   8 134     9.79 133.9053945         0  Xe
54   9 136    7.954   135.90722         0  Xe
55   1 133      100  132.905447       3.5  Cs
56   1 130    0.106   129.90631         0  Ba
56   2 132    0.101  131.905056         0  Ba
56   3 134    2.417  133.904503         0  Ba
56   4 135    6.592  134.905683       1.5  Ba
56   5 136    7.854   135.90457         0  Ba
56   6 137   11.232  136.905821       1.5  Ba
56   7 138   71.698  137.905241         0  Ba
57   1 138    0.091  137.907107         5  La
57   2 139   99.909  138.906348       3.5  La
58   1 136    0.185   135.90714         0  Ce
58   2 138    0.251  137.905986         0  Ce
58   3 140    88.45  139.905434         0  Ce
58   4 142   11.114   141.90924         0  Ce
59   1 141      100  140.907648       2.5  Pr
60   1 142   27.044  141.907719         0  Nd
60   2 143   12.023   142.90981       3.5  Nd
60   3 144   23.729  143.910083         0  Nd
60   4 145    8.763  144.912569       3.5  Nd
60   5 146    17.13  145.913112         0  Nd
60   6 148    5.716  147.916889         0  Nd
60   7 150    5.596  149.920887         0  Nd
62   1 144     3.07  143.911995         0  Sm
62   2 147    14.99  146.914893       3.5  Sm
62   3 148    11.24  147.914818         0  Sm
62   4 149    13.82   148.91718       3.5  Sm
62   5 150     7.38  149.917271         0  Sm
62   6 152    26.75  151.919728         0  Sm
62   7 154    22.75  153.922205         0  Sm
63   1 151    47.81  150.919846       2.5  Eu
63   2 153    52.19  152.921226       2.5  Eu
64   1 152      0.2  151.919788         0  Gd
64   2 154     2.18  153.920862         0  Gd
64   3 155     14.8  154.922619       1.5  Gd
64   4 156    20.47   155.92212         0  Gd
64   5 157    15.65  156.923957       1.5  Gd
64   6 158    24.84  157.924101         0  Gd
64   7 160    21.86  159.927051         0  Gd
65   1 159      100  158.925343       1.5  Tb
66   1 156    0.056  155.924278         0  Dy
66   2 158    0.095  157.924405         0  Dy
66   3 160    2.329  159.925194         0  Dy
66   4 161   18.889   160.92693       2.5  Dy
66   5 162   25.475  161.926795         0  Dy
66   6 163   24.896  162.928728       2.5  Dy
66   7 164    28.26  163.929171         0  Dy
67   1 165      100  164.930319       3.5  Ho
68   1 162    0.139  161.928775         0  Er
68   2 164    1.601  163.929197         0  Er
68   3 166   33.503   165.93029         0  Er
68   4 167   22.869  166.932045       3.5  Er
